provision_id,provision_uri,legislation_id,legislation_title,section_type,schedule_number,schedule_title,part_number,part_title,chapter_number,chapter_title,class_block,sub_block,provision_number,provision_level,parent_provision_id,text,status,restrict_start_date,restrict_end_date,restrict_extent
schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4-3-a,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/1/crossheading/class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse/paragraph/A.4/3/a,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 1,Development within the curtilage of a dwellinghouse,,,"Class A – enlargement, improvement or other alteration of a dwellinghouse",,a,P3,schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4-3,"the proposed development does not comply with, or",valid,,,
schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4-3-b,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/1/crossheading/class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse/paragraph/A.4/3/b,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 1,Development within the curtilage of a dwellinghouse,,,"Class A – enlargement, improvement or other alteration of a dwellinghouse",,b,P3,schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4-3,"the developer has provided insufficient information to enable the authority to establish whether the proposed development complies with,",valid,,,
schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4-4,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/1/crossheading/class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse/paragraph/A.4/4,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 1,Development within the curtilage of a dwellinghouse,,,"Class A – enlargement, improvement or other alteration of a dwellinghouse",,4,P2,schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4,Sub-paragraphs (5) to (7) and (9) do not apply where a local planning authority refuses an application under sub-paragraph (3) and for the purposes of section 78 (appeals) of the Act such a refusal is to be treated as a refusal of an application for approval.,valid,,,
schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4-5,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/1/crossheading/class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse/paragraph/A.4/5,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 1,Development within the curtilage of a dwellinghouse,,,"Class A – enlargement, improvement or other alteration of a dwellinghouse",,5,P2,schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4,The local planning authority must notify each adjoining owner or occupier about the proposed development by serving on them a notice which—,valid,,,
schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4-5-a,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/1/crossheading/class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse/paragraph/A.4/5/a,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 1,Development within the curtilage of a dwellinghouse,,,"Class A – enlargement, improvement or other alteration of a dwellinghouse",,a,P3,schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4-5,describes the development by setting out the information provided to the authority by the developer under paragraph A.4(2)(a);,valid,,,
schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4-5-b,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/1/crossheading/class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse/paragraph/A.4/5/b,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 1,Development within the curtilage of a dwellinghouse,,,"Class A – enlargement, improvement or other alteration of a dwellinghouse",,b,P3,schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4-5,provides the address of the proposed development;,valid,,,
schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4-5-c,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/1/crossheading/class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse/paragraph/A.4/5/c,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 1,Development within the curtilage of a dwellinghouse,,,"Class A – enlargement, improvement or other alteration of a dwellinghouse",,c,P3,schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4-5,specifies the date when the information referred to in sub-paragraph (2) was received by the local planning authority and the date when the period referred to in sub-paragraph (10)(c) would expire; and,valid,,,
schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4-5-d,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/1/crossheading/class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse/paragraph/A.4/5/d,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 1,Development within the curtilage of a dwellinghouse,,,"Class A – enlargement, improvement or other alteration of a dwellinghouse",,d,P3,schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4-5,specifies the date (being not less than 21 days from the date of the notice) by which representations are to be received by the local planning authority.,valid,,,
schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4-6,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/1/crossheading/class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse/paragraph/A.4/6,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 1,Development within the curtilage of a dwellinghouse,,,"Class A – enlargement, improvement or other alteration of a dwellinghouse",,6,P2,schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4,The local planning authority must send a copy of the notice referred to in sub-paragraph (5) to the developer.,valid,,,
schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4-7,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/1/crossheading/class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse/paragraph/A.4/7,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 1,Development within the curtilage of a dwellinghouse,,,"Class A – enlargement, improvement or other alteration of a dwellinghouse",,7,P2,schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4,"Where any owner or occupier of any adjoining premises objects to the proposed development, the prior approval of the local planning authority is required as to the impact of the proposed development on the amenity of any adjoining premises.",valid,,,
schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4-8,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/1/crossheading/class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse/paragraph/A.4/8,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 1,Development within the curtilage of a dwellinghouse,,,"Class A – enlargement, improvement or other alteration of a dwellinghouse",,8,P2,schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4,The local planning authority may require the developer to submit such further information regarding the proposed development as the authority may reasonably require in order to determine the application.,valid,,,
schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4-9,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/1/crossheading/class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse/paragraph/A.4/9,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 1,Development within the curtilage of a dwellinghouse,,,"Class A – enlargement, improvement or other alteration of a dwellinghouse",,9,P2,schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4,"The local planning authority must, when considering the impact referred to in sub-paragraph (7)—",valid,,,
schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4-9-a,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/1/crossheading/class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse/paragraph/A.4/9/a,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 1,Development within the curtilage of a dwellinghouse,,,"Class A – enlargement, improvement or other alteration of a dwellinghouse",,a,P3,schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4-9,take into account any representations made as a result of the notice given under sub-paragraph (5); and,valid,,,
schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4-9-b,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/1/crossheading/class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse/paragraph/A.4/9/b,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 1,Development within the curtilage of a dwellinghouse,,,"Class A – enlargement, improvement or other alteration of a dwellinghouse",,b,P3,schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4-9,"consider the amenity of all adjoining premises, not just adjoining premises which are the subject of representations.",valid,,,
schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4-10,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/1/crossheading/class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse/paragraph/A.4/10,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 1,Development within the curtilage of a dwellinghouse,,,"Class A – enlargement, improvement or other alteration of a dwellinghouse",,10,P2,schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4,The development must not begin before the occurrence of one of the following—,valid,,,
schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4-10-a,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/1/crossheading/class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse/paragraph/A.4/10/a,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 1,Development within the curtilage of a dwellinghouse,,,"Class A – enlargement, improvement or other alteration of a dwellinghouse",,a,P3,schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4-10,the receipt by the developer from the local planning authority of a written notice that their prior approval is not required;,valid,,,
schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4-10-b,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/1/crossheading/class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse/paragraph/A.4/10/b,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 1,Development within the curtilage of a dwellinghouse,,,"Class A – enlargement, improvement or other alteration of a dwellinghouse",,b,P3,schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4-10,the receipt by the developer from the local planning authority of a written notice giving their prior approval; or,valid,,,
schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4-10-c,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/1/crossheading/class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse/paragraph/A.4/10/c,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 1,Development within the curtilage of a dwellinghouse,,,"Class A – enlargement, improvement or other alteration of a dwellinghouse",,c,P3,schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4-10,the expiry of 42 days following the date on which the information referred to in sub-paragraph (2) was received by the local planning authority without the local planning authority notifying the developer as to whether prior approval is given or refused.,valid,,,
schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4-11,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/1/crossheading/class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse/paragraph/A.4/11,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 1,Development within the curtilage of a dwellinghouse,,,"Class A – enlargement, improvement or other alteration of a dwellinghouse",,11,P2,schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4,The development must be carried out— unless the local planning authority and the developer agree otherwise in writing.,valid,,,
schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4-11-a,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/1/crossheading/class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse/paragraph/A.4/11/a,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 1,Development within the curtilage of a dwellinghouse,,,"Class A – enlargement, improvement or other alteration of a dwellinghouse",,a,P3,schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4-11,"where prior approval is required, in accordance with the details approved by the local planning authority;",valid,,,
schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4-11-b,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/1/crossheading/class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse/paragraph/A.4/11/b,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 1,Development within the curtilage of a dwellinghouse,,,"Class A – enlargement, improvement or other alteration of a dwellinghouse",,b,P3,schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4-11,"where prior approval is not required, or where sub-paragraph (10)(c) applies, in accordance with the information provided under sub-paragraph (2),",valid,,,
schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4-12,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/1/crossheading/class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse/paragraph/A.4/12,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 1,Development within the curtilage of a dwellinghouse,,,"Class A – enlargement, improvement or other alteration of a dwellinghouse",,12,P2,schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4,The local planning authority may grant prior approval unconditionally or subject to conditions reasonably related to the impact of the proposed development on the amenity of any adjoining premises.,valid,,,
schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4-13,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/1/crossheading/class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse/paragraph/A.4/13,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 1,Development within the curtilage of a dwellinghouse,,,"Class A – enlargement, improvement or other alteration of a dwellinghouse",,13,P2,schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4,. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,valid,,,
schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4-14,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/1/crossheading/class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse/paragraph/A.4/14,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 1,Development within the curtilage of a dwellinghouse,,,"Class A – enlargement, improvement or other alteration of a dwellinghouse",,14,P2,schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4,. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,valid,,,
schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4-15,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/1/crossheading/class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse/paragraph/A.4/15,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 1,Development within the curtilage of a dwellinghouse,,,"Class A – enlargement, improvement or other alteration of a dwellinghouse",,15,P2,schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4,. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,valid,,,
schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4-16,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/1/crossheading/class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse/paragraph/A.4/16,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 1,Development within the curtilage of a dwellinghouse,,,"Class A – enlargement, improvement or other alteration of a dwellinghouse",,16,P2,schedule-2-part-1-crossheading-class-a-enlargement-improvement-or-other-alteration-of-a-dwellinghouse_paragraph-A.4,"When computing the number of days in sub-paragraph (5)(d), any day which is a public holiday must be disregarded.",valid,,,
schedule-2-part-1-crossheading-class-aa-enlargement-of-a-dwellinghouse-by-construction-of-additional-storeys_paragraph-AA,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/1/crossheading/class-aa-enlargement-of-a-dwellinghouse-by-construction-of-additional-storeys/paragraph/AA,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 1,Development within the curtilage of a dwellinghouse,,,Class AA - enlargement of a dwellinghouse by construction of additional storeys,,AA,P1,,"The enlargement of a dwellinghouse consisting of the construction of— a up to two additional storeys, where the existing dwellinghouse consists of two or more storeys; or b one additional storey, where the existing dwellinghouse consists of one storey, immediately above the topmost storey of the dwellinghouse, together with any engineering operations reasonably necessary for the purpose of that construction.",valid,,,
schedule-2-part-1-crossheading-class-aa-enlargement-of-a-dwellinghouse-by-construction-of-additional-storeys_paragraph-AA.1,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/1/crossheading/class-aa-enlargement-of-a-dwellinghouse-by-construction-of-additional-storeys/paragraph/AA.1,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 1,Development within the curtilage of a dwellinghouse,,,Class AA - enlargement of a dwellinghouse by construction of additional storeys,,AA.1,P1,,"Development is not permitted by Class AA if— a permission to use the dwellinghouse as a dwellinghouse has been granted only by virtue of Class G, M, MA, N, O, P, PA or Q of Part 3 of this Schedule (changes of use); b the dwellinghouse is located on— i article 2(3) land; or ii a site of special scientific interest; c the dwellinghouse was constructed before 1st July 1948 or after 28th October 2018; d the existing dwellinghouse has been enlarged by the addition of one or more storeys above the original dwellinghouse, whether in reliance on the permission granted by Class AA or otherwise; e following the development the height of the highest part of the roof of the dwellinghouse would exceed 18 metres; f following the development the height of the highest part of the roof of the dwellinghouse would exceed the height of the highest part of the roof of the existing dwellinghouse by more than— i 3.5 metres, where the existing dwellinghouse consists of one storey; or ii 7 metres, where the existing dwellinghouse consists of more than one storey; g the dwellinghouse is not detached and following the development the height of the highest part of its roof would exceed by more than 3.5 metres— i in the case of a semi-detached house, the height of the highest part of the roof of the building with which it shares a party wall (or, as the case may be, which has a main wall adjoining its main wall); or ii in the case of a terrace house, the height of the highest part of the roof of every other building in the row in which it is situated; h the floor to ceiling height of any additional storey, measured internally, would exceed the lower of— i 3 metres; or ii the floor to ceiling height, measured internally, of any storey of the principal part of the existing dwellinghouse; i any additional storey is constructed other than on the principal part of the dwellinghouse; j the development would include the provision of visible support structures on or attached to the exterior of the dwellinghouse upon completion of the development; or k the development would include any engineering operations other than works within the curtilage of the dwellinghouse to strengthen its existing walls or existing foundations.",valid,,,
schedule-2-part-1-crossheading-class-aa-enlargement-of-a-dwellinghouse-by-construction-of-additional-storeys_paragraph-AA.2,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/1/crossheading/class-aa-enlargement-of-a-dwellinghouse-by-construction-of-additional-storeys/paragraph/AA.2,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 1,Development within the curtilage of a dwellinghouse,,,Class AA - enlargement of a dwellinghouse by construction of additional storeys,,AA.2,P1,,,valid,,,
schedule-2-paragraph-AA.2-1,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/paragraph/AA.2/1,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 1,Development within the curtilage of a dwellinghouse,,,Class AA - enlargement of a dwellinghouse by construction of additional storeys,,1,P2,schedule-2-part-1-crossheading-class-aa-enlargement-of-a-dwellinghouse-by-construction-of-additional-storeys_paragraph-AA.2,Development is permitted by Class AA subject to the conditions set out in sub-paragraphs (2) and (3).,valid,,,
schedule-2-paragraph-AA.2-2,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/paragraph/AA.2/2,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 1,Development within the curtilage of a dwellinghouse,,,Class AA - enlargement of a dwellinghouse by construction of additional storeys,,2,P2,schedule-2-part-1-crossheading-class-aa-enlargement-of-a-dwellinghouse-by-construction-of-additional-storeys_paragraph-AA.2,The conditions in this sub-paragraph are as follows—,valid,,,
schedule-2-paragraph-AA.2-2-a,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/paragraph/AA.2/2/a,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 1,Development within the curtilage of a dwellinghouse,,,Class AA - enlargement of a dwellinghouse by construction of additional storeys,,a,P3,schedule-2-paragraph-AA.2-2,the materials used in any exterior work must be of a similar appearance to those used in the construction of the exterior of the existing dwellinghouse;,valid,,,
schedule-2-paragraph-AA.2-2-b,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/paragraph/AA.2/2/b,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 1,Development within the curtilage of a dwellinghouse,,,Class AA - enlargement of a dwellinghouse by construction of additional storeys,,b,P3,schedule-2-paragraph-AA.2-2,the development must not include a window in any wall or roof slope forming a side elevation of the dwelling house;,valid,,,
schedule-2-paragraph-AA.2-2-c,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/paragraph/AA.2/2/c,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 1,Development within the curtilage of a dwellinghouse,,,Class AA - enlargement of a dwellinghouse by construction of additional storeys,,c,P3,schedule-2-paragraph-AA.2-2,the roof pitch of the principal part of the dwellinghouse following the development must be the same as the roof pitch of the existing dwellinghouse; and,valid,,,
schedule-2-paragraph-AA.2-2-d,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/paragraph/AA.2/2/d,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 1,Development within the curtilage of a dwellinghouse,,,Class AA - enlargement of a dwellinghouse by construction of additional storeys,,d,P3,schedule-2-paragraph-AA.2-2,"following the development, the dwellinghouse must be used as a dwellinghouse within the meaning of Class C3 of the Schedule to the Use Classes Order and for no other purpose, except to the extent that the other purpose is ancillary to the primary use as a dwellinghouse.",valid,,,
schedule-2-paragraph-AA.2-3,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/paragraph/AA.2/3,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 1,Development within the curtilage of a dwellinghouse,,,Class AA - enlargement of a dwellinghouse by construction of additional storeys,,3,P2,schedule-2-part-1-crossheading-class-aa-enlargement-of-a-dwellinghouse-by-construction-of-additional-storeys_paragraph-AA.2,The conditions in this sub-paragraph are as follows—,valid,,,
schedule-2-paragraph-AA.2-3-a,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/paragraph/AA.2/3/a,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 1,Development within the curtilage of a dwellinghouse,,,Class AA - enlargement of a dwellinghouse by construction of additional storeys,,a,P3,schedule-2-paragraph-AA.2-3,"before beginning the development, the developer must apply to the local planning authority for prior approval as to—",valid,,,
schedule-2-paragraph-AA.2-3-a-i,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/paragraph/AA.2/3/a/i,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 1,Development within the curtilage of a dwellinghouse,,,Class AA - enlargement of a dwellinghouse by construction of additional storeys,,i,P4,schedule-2-paragraph-AA.2-3-a,"i impact on the amenity of any adjoining premises including overlooking, privacy and the loss of light;",valid,,,
schedule-2-paragraph-AA.2-3-a-ii,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/paragraph/AA.2/3/a/ii,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 1,Development within the curtilage of a dwellinghouse,,,Class AA - enlargement of a dwellinghouse by construction of additional storeys,,ii,P4,schedule-2-paragraph-AA.2-3-a,"ii the external appearance of the dwellinghouse, including the design and architectural features of— aa the principal elevation of the dwellinghouse, and bb any side elevation of the dwellinghouse that fronts a highway;",valid,,,
schedule-2-paragraph-AA.2-3-a-iii,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/paragraph/AA.2/3/a/iii,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 1,Development within the curtilage of a dwellinghouse,,,Class AA - enlargement of a dwellinghouse by construction of additional storeys,,iii,P4,schedule-2-paragraph-AA.2-3-a,iii air traffic and defence asset impacts of the development; and,valid,,,
schedule-2-paragraph-AA.2-3-a-iv,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/paragraph/AA.2/3/a/iv,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 1,Development within the curtilage of a dwellinghouse,,,Class AA - enlargement of a dwellinghouse by construction of additional storeys,,iv,P4,schedule-2-paragraph-AA.2-3-a,"iv whether, as a result of the siting of the dwellinghouse, the development will impact on a protected view identified in the Directions Relating to Protected Vistas dated 15th March 2012 issued by the Secretary of State;",valid,,,
schedule-2-paragraph-AA.2-3-b,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/paragraph/AA.2/3/b,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 1,Development within the curtilage of a dwellinghouse,,,Class AA - enlargement of a dwellinghouse by construction of additional storeys,,b,P3,schedule-2-paragraph-AA.2-3,"before beginning the development, the developer must provide the local planning authority with a report for the management of the construction of the development, which sets out the proposed development hours of operation and how any adverse impact of noise, dust, vibration and traffic on adjoining owners or occupiers will be mitigated;",valid,,,
